name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bytes","bytes_per_entry"
"BM_EraseAndFind<ChainingHashMap<0.9>>/32768",3401,205991,205977,ns,,,,,,1.83501e+06,112
"BM_EraseAndFind<ChainingHashMap<0.9>>/65536",1714,408982,408965,ns,,,,,,3.67002e+06,112
"BM_EraseAndFind<LinearProbingHashMap<0.9>>/256",1248840,553.83,555.513,ns,,,,,,4608,36
"BM_EraseAndFind<LinearProbingHashMap<0.9>>/512",1076940,649.607,651.123,ns,,,,,,9216,36
"BM_EraseAndFind<LinearProbingHashMap<0.9>>/4096",317762,2202.39,2202.84,ns,,,,,,73728,36
"BM_EraseAndFind<LinearProbingHashMap<0.9>>/32768",55552,12617.7,12617.5,ns,,,,,,589824,36
"BM_EraseAndFind<LinearProbingHashMap<0.9>>/65536",28984,24157,24149.5,ns,,,,,,1.17965e+06,36
"BM_EraseAndFind<RobinHoodHashMap<0.9>>/256",1263538,549.123,550.637,ns,,,,,,4160,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.9>>/512",1090530,642.412,643.836,ns,,,,,,8320,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.9>>/4096",302768,2313.15,2314.08,ns,,,,,,66560,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.9>>/32768",53138,13185.9,13186.4,ns,,,,,,532480,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.9>>/65536",27529,25424.2,25420.3,ns,,,,,,1.06496e+06,32.5
"BM_EraseAndFind<StdUnorderedMapAdapter<0.9>>/256",326141,2127.41,2129.13,ns,,,,,,7680,60
"BM_EraseAndFind<StdUnorderedMapAdapter<0.9>>/512",166892,4198.06,4197.14,ns,,,,,,15360,60
"BM_EraseAndFind<StdUnorderedMapAdapter<0.9>>/4096",23932,29286.9,29284.3,ns,,,,,,131072,64
"BM_EraseAndFind<StdUnorderedMapAdapter<0.9>>/32768",2937,236778,236767,ns,,,,,,950272,58
